start_year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,studio,domestic_gross_imdb,foreign_gross,id,release_date_tn,production_budget,domestic_gross_tn,worldwide_gross,budget_wiki
2013,Homefront,tt2558484,The Things We Leave Behind,111.0,Drama,7.7,17.0,en,Homefront,2013-11-27,ORF,20200000.0,22900000,29.0,"Nov 27, 2013","$22,000,000","$20,158,492","$51,695,362",22000000
2013,Homosexual,tt3809056,Homosexual,75.0,"Comedy,Documentary",5.7,15.0,en,Homosexual,2013-02-27,,,,,,,,,Unknown
2013,Hope for Love,tt2303074,Hope for Love,80.0,Drama,3.8,45.0,en,Hope for Love,2013-01-01,,,,,,,,,Unknown
2013,Hopes Identity,tt3204838,Hopes Identity,79.0,"Drama,Romance",,,en,Hopes Identity,2013-08-14,,,,,,,,,35000000
2013,Hot Guys with Guns,tt2719796,Hot Guys with Guns,105.0,"Action,Comedy,Romance",5.6,260.0,en,Hot Guys with Guns,2013-06-27,,,,,,,,,Unknown
2013,Hours,tt2094018,Hours,97.0,"Drama,Thriller",6.5,26396.0,en,Hours,2013-12-12,,,,,,,,,4600000
2013,House Hunting,tt1608368,House Hunting,102.0,"Horror,Mystery,Thriller",5.2,2282.0,en,House Hunting,2013-03-05,,,,,,,,,Unknown
2013,House of Bad,tt2043882,House of Bad,96.0,"Horror,Thriller",3.1,289.0,en,House of Bad,2013-05-18,,,,,,,,,Unknown
2013,House of Dust,tt1309374,House of Dust,90.0,"Horror,Thriller",3.7,555.0,en,House of Dust,2013-11-01,,,,,,,,,Unknown
2013,House of Forbidden Secrets,tt2630310,House of Forbidden Secrets,98.0,"Drama,Horror,Thriller",5.9,410.0,en,House of Forbidden Secrets,2013-10-10,,,,,,,,,Unknown
2013,House of Good and Evil,tt1068953,House of Good and Evil,108.0,"Horror,Thriller",6.5,7933.0,en,House of Good and Evil,2013-04-26,,,,,,,,,150000
2013,House of Last Things,tt1464539,House of Last Things,110.0,"Fantasy,Horror,Thriller",5.8,3713.0,en,House of Last Things,2013-01-30,,,,,,,,,Unknown
2013,Houston,tt2181961,Houston,107.0,Drama,5.7,271.0,en,Houston,2013-01-22,,,,,,,,,Unknown
2013,How I Live Now,tt1894476,How I Live Now,101.0,"Romance,Sci-Fi,Thriller",6.5,26159.0,en,How I Live Now,2013-11-08,,,,,,,,,Unknown
2013,How to Be a Man,tt2479384,How to Be a Man,85.0,Comedy,6.8,2976.0,en,How to Be a Man,2013-08-10,,,,,,,,,Unknown
2013,How to Follow Strangers,tt2579200,How to Follow Strangers,86.0,"Drama,Mystery,Romance",6.0,166.0,en,How to Follow Strangers,2013-10-28,,,,,,,,,Unknown
2013,How to Lose Your Virginity,tt2101566,How to Lose Your Virginity,67.0,"Comedy,Documentary,News",6.2,51.0,en,How to Lose Your Virginity,2013-11-15,,,,,,,,,Unknown
2013,Huff,tt2128679,Huff,92.0,"Horror,Thriller",3.2,323.0,en,Huff,2013-04-05,,,,,,,,,Unknown
2013,Hug an Atheist,tt3428990,Hug an Atheist,90.0,"Documentary,Family,News",9.0,5.0,en,Hug an Atheist,2013-09-01,,,,,,,,,Unknown
2013,Hunter,tt2237448,Hunter,88.0,Drama,4.7,189.0,en,Hunter,2013-07-27,,,,,,,,,Unknown
2013,Hyperfutura,tt2385522,Hyperfutura,61.0,Sci-Fi,2.4,118.0,en,Hyperfutura,2013-01-18,,,,,,,,,Unknown
2013,I Am Breathing,tt2392634,I Am Breathing,72.0,"Biography,Documentary",7.1,177.0,en,I Am Breathing,2013-09-06,,,,,,,,,Unknown
2013,I Am Divine,tt1356790,I Am Divine,90.0,Documentary,7.7,2014.0,en,I Am Divine,2013-03-09,,,,,,,,,Unknown
2013,I Am I,tt1825806,I Am I,87.0,Drama,5.7,142.0,en,I Am I,2013-04-27,,,,,,,,,Unknown
2013,I Am No One,tt3342734,I Am No One,,Horror,6.1,11.0,en,I Am No One,2013-10-16,,,,,,,,,Unknown
2013,I Die Alone,tt2750746,I Die Alone,102.0,"Action,War",5.5,10.0,en,I Die Alone,2013-03-18,,,,,,,,,Unknown
2013,I Give It a Year,tt2244901,I Give It a Year,97.0,"Comedy,Romance",5.7,34091.0,en,I Give It a Year,2013-02-10,Magn.,34700.0,28200000,,,,,,Unknown
2013,I Spit on Your Grave 2,tt2537176,I Spit on Your Grave 2,106.0,"Horror,Thriller",5.7,24100.0,en,I Spit on Your Grave 2,2013-09-20,Anch.,800.0,,,,,,,1500000
2013,I Think I Do,tt1519618,I Think I Do,90.0,Comedy,4.8,262.0,en,I Think I Do,2013-02-11,,,,,,,,,Unknown
2013,I Used to Be Darker,tt2147728,I Used to Be Darker,89.0,"Drama,Music",5.6,874.0,en,I Used to Be Darker,2013-10-04,,,,,,,,,42394
2013,I'm a Porn Star,tt3076982,I'm a Porn Star,81.0,"Biography,Comedy,Documentary",4.8,191.0,en,I'm a Porn Star,2013-10-04,,,,,,,,,Unknown
2013,I'm in Love with a Church Girl,tt1618432,I'm in Love with a Church Girl,118.0,"Crime,Drama,Romance",4.5,1536.0,en,I'm in Love with a Church Girl,2013-10-18,,,,,,,,,3000000
2013,"I, Me aur Main",tt2064816,"I, Me aur Main",108.0,"Comedy,Drama,Musical",4.7,1680.0,en,"I, Me aur Main",2013-03-20,,,,,,,,,Unknown
2013,ICE Agent,tt2828022,ICE Agent,93.0,Action,3.7,99.0,en,ICE Agent,2013-04-22,,,,,,,,,Unknown
2013,IRL,tt3313864,IRL,80.0,Drama,5.1,336.0,en,IRL,2013-06-19,,,,,,,,,Unknown
2013,Ice Soldiers,tt3104304,Ice Soldiers,95.0,"Action,Sci-Fi",4.3,2277.0,en,Ice Soldiers,2013-12-06,,,,,,,,,Unknown
2013,Identity Thief,tt2024432,Identity Thief,111.0,"Adventure,Comedy,Crime",5.7,115624.0,en,Identity Thief,2013-02-09,Uni.,134500000.0,39500000,32.0,"Feb 8, 2013","$35,000,000","$134,506,920","$175,361,578",35000000
2013,If I Had Wings,tt3063462,If I Had Wings,89.0,"Drama,Family,Sport",7.2,1190.0,en,If I Had Wings,2013-12-01,,,,,,,,,Unknown
2013,If These Knishes Could Talk: The Story of the NY Accent,tt1449183,If These Knishes Could Talk: The Story of the NY Accent,55.0,"Biography,Comedy,Documentary",7.0,66.0,en,If These Knishes Could Talk: The Story of the NY Accent,2013-05-16,,,,,,,,,Unknown
2013,If You Build It,tt2322482,If You Build It,85.0,Documentary,7.1,177.0,en,If You Build It,2013-04-06,,,,,,,,,15000000
